Abbreviation,City,Customer Name,Customer Segment,Order Date,Order Date (copy),Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,State1,Zip Code,Column,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Row,Sales,Shipping Cost,Unit Price
PA,McKeesport,Jessica Myrick,Small Business,01-Jan-12,01-Jan-12,28774,High,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,East,4031,02-Jan-12,Regular Air,Pennsylvania,Pennsylvania,15131,9,0.1,1,32,0.68,-111.8,3,180.36,4.69,5.98
MD,Bowie,Matt Collister,Home Office,01-Jan-12,01-Jan-12,13729,Not Specified,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,East,1914,03-Jan-12,Express Air,Maryland,Maryland,20715,8.5,0.08,1,9,,-342.91,4,872.48,35,95.99
CA,Napa,Alan Schoenberger,Corporate,02-Jan-12,02-Jan-12,37537,Low,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,West,5272,02-Jan-12,Delivery Truck,California,California,94559,2,0,1,4,0.56,-193.08,5,1239.06,48.8,291.73
CA,Montebello,Elizabeth Moffitt,Consumer,02-Jan-12,02-Jan-12,44069,Critical,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,West,6225,02-Jan-12,Regular Air,California,California,90640,2,0.08,1,43,0.39,247.79,5,614.8,1.97,15.04
CA,Napa,Alan Schoenberger,Corporate,02-Jan-12,02-Jan-12,37537,Low,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,West,5273,04-Jan-12,Delivery Truck,California,California,94559,2,0.07,1,43,0.69,-1049.85,5,4083.19,45,100.98
CA,Montebello,Elizabeth Moffitt,Consumer,02-Jan-12,02-Jan-12,44069,Critical,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,West,6224,04-Jan-12,Express Air,California,California,90640,2,0.09,1,16,0.4,26.71,5,137.63,2.15,9.11
MN,Prior Lake,David Philippe,Consumer,02-Jan-12,02-Jan-12,9285,Critical,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,Central,1279,04-Jan-12,Regular Air,Minnesota,Minnesota,55372,4.5,0.06,1,3,0.36,-11.937,2,124.81,2.99,40.98
CA,Napa,Alan Schoenberger,Corporate,02-Jan-12,02-Jan-12,37537,Low,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,West,5274,09-Jan-12,Regular Air,California,California,94559,2,0.05,1,32,0.59,1438.49,5,4902.38,7.07,155.06
AL,Phenix City,Patrick Jones,Home Office,03-Jan-12,03-Jan-12,40354,High,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,South,5705,04-Jan-12,Delivery Truck,Alabama,Alabama,36869,7.5,0.09,1,4,0.64,-93.16,6,698,52.2,212.6
UT,Draper,Larry Tron,Home Office,03-Jan-12,03-Jan-12,9762,High,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,West,1336,04-Jan-12,Regular Air,Utah,Utah,84020,4,0.05,1,12,0.78,-146.05,5,262.76,21.2,20.98
AL,Phenix City,Patrick Jones,Home Office,03-Jan-12,03-Jan-12,40354,High,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,South,5704,04-Jan-12,Regular Air,Alabama,Alabama,36869,7.5,0.03,1,29,0.37,12.5545,6,172.51,2.99,5.58
OR,Lake Oswego,Alex Russell,Home Office,03-Jan-12,03-Jan-12,7909,High,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,West,1074,04-Jan-12,Regular Air,Oregon,Oregon,97035,1.5,0.03,1,29,0.44,24.55,4,122.23,1.2,4.26
NE,Kearney,Bill Donatelli,Corporate,03-Jan-12,03-Jan-12,30016,Critical,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,Central,4223,05-Jan-12,Regular Air,Nebraska,Nebraska,68847,4.5,0.03,1,15,0.4,-41.58,4,85.56,5.66,5.28
UT,Layton,Ann Steele,Corporate,03-Jan-12,03-Jan-12,11972,Not Specified,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,West,1663,05-Jan-12,Delivery Truck,Utah,Utah,84041,4,0,1,4,0.59,-452.2695,5,896.49,14.7,213.45
LA,Baton Rouge,Andy Reiter,Corporate,03-Jan-12,03-Jan-12,9637,Low,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,South,1315,05-Jan-12,Regular Air,Louisiana,Louisiana,70802,5.5,0.08,1,12,0.66,-236.43,6,522.49,16.71,43.22
